Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Radial_D5.0mm_H5.0mm_P2.00mm,1,100uF,
C2,1812,1,10nF 250V,
"D1, D3",0603,2,RED,
D2,TO-263-2,1,T2035T-8G-RT,
F1,Fuseholder_Clip-5x20mm_Littelfuse_100_Inline_P20.50x4.60mm_D1.30mm_Horizontal,1,1A,
F2,Fuseholder_Clip-6.3x32mm_Littelfuse_122_Inline_P34.21x7.62mm_D2.54mm_Horizontal,1,20A,
"J1, J2",SPTA-THR 2.53-5.0 P26,2,1366005,
J3,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,Conn_01x03,
J7,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Conn_01x02,
JP3,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
PS1,Converter_ACDC_MeanWell_IRM-10-xx_THT,1,IRM-10-5,
"R1, R5, R7",0603,3,330,
"R2, R3",2512,2,330,
R4,2512,1,39,
RV1,TMOV20RP150E,1,TMOV20RP150E,
SW1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,SW_SPST,
U2,SMDIP-6_W9.53mm,1,MOC3083S-TA1,
